SCALE,DPAWREGION,SCHEDULE,NAMESCIEN,NAMECOMMON,DIST,KNOWNESU_NUM,KNOWNESU_RELIAB,KNOWNESU_TREND,KNOWNESU_TRENDRELIAB,KNOWNESU_NOTES,KNOWNPOPS_NUM,KNOWNPOPS_TRANS,KNOWNPOPS_CAT,KNOWNPOPS_RELIAB,KNOWNPOPS_TREND,KNOWNPOPS_TRENDRELIAB,KNOWNPOPS_NOTES,MATIND_RAW,MATIND_CAT,MATIND_RELIAB,MATIND_TREND,MATIND_TRENDRELIAB,MATIND_NOTES,EOOAREA_RAW,EOOAREA_CAT,EOOAREA_METHOD,EOOAREA_TREND,EOOAREA_NOTES,AOOAREA_RAW,AOOAREA_CAT,AOOAREA_METHOD,AOOAREA_TREND,AOOAREA_NOTES,HABITATSPEC_FIRE,HABITATSPEC_SPATIAL,HABITATSPEC_RELIAB,HABITATSPEC_TREND,HABITATSPEC_NOTES,MOSTRECENTSURVEY_DETECT,MOSTRECENTSURVEY_NODETECT,MOSTRECENTSURVEY_ANECDOTAL,NOTES1,STATUSEPBC,STATUSWA,YEARCURRENTTHREAT,LISTING REASON,PASTPRESSURES_CAT,PASTPRESSURES_SPECIFY,FUTURETHREATS_CAT,FUTURETHREATS_SPECIFY,RECOVERYPLANCOMMENCE,RECOVERYGOALS,RECOVERYTARGETS,CHANGECONSSTATUS,MANREQ_RESEARCH_CAT,MANREQ_RESEARCH_SPECIFY,MANREQ_EVALUATION_CAT,MANREQ_EVALUATION_SPECIFY,MANREQ_CONSPLAN_CAT,MANREQ_CONSPLAN_SPECIFY,MANREQ_DIRECT_CAT,MANREQ_DIRECT_SPECIFY,MANREQ_INDIRECT_CAT,MANREQ_INDIRECT_SPECIFY,MANREQ_OTHER_CAT,MANREQ_OTHER_SPECIFY,NOTES2,REFERENCES,FULLASSMENTCOND_CAT,FULLASSMENTCOND_YEAR,LAST_UPDATED
SWA02,Swan,Sch1:Birds,Botaurus poiciloptilus,Australasian bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),effects on habitat,Climate change (long-term reduced rainfall),effects on habitat,,,,,,,,,,,,,MI iv) Habitat management through whole of landscape management approach (specify),,,,,,,,
SWA02,Swan,Sch1:Birds,Botaurus poiciloptilus,Australasian bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illegal activity (specify),arson,Illegal activity (specify),arson,,,,,,,,,,,,,,,,,,,,,
JAF02,Warren,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,"Lake Quaelup (near Kojonup), Muir-Unicup System, Lake Pleasant View System, South Coast wetlands (Lake Jasper to Bremer Bay) shared with WAR01",Refer to State level,,,,,1,0,Refer to State level,Quantitative unpublished data and expert opinion,Static (no change),Quantitative unpublished data and expert opinion,South Coast workshop & Garnett et al 2011: 1 pop for all of SW WA,Not available at sub-regional level,Not available at sub-regional level,Quantitative analysis of data published or publically available following peer review,Decreased (pressures > recovery actions),Quantitative analysis of data published or publically available following peer review,draft RP: loss of suitable habitat,Refer to State level,Refer to State level,,Static (no change),South Coast workshop: trend. S&C: 1316245,Unknown,Unknown,-,Decreased (pressures > recovery actions),"South Coast workshop: changes to wetlands where birds are found year to year, dependant on rainfall & freshwater habitat. RP: loss of Lake Cobertup habitat in Muir-Unicup system, bittern last recorded in 2007 but wetland is now acidified and unsuitable habitat",,Highly restricted,Quantitative analysis of data published or publically available following peer review,Static,"South Coast workshop: freshwater wetlands, requires suitable cover; ",2012,,,"draft RP: Muir-Unicup System, Lake Pleasant View System and Two Peoples Bay/Mount Manypeaks are Important Bird Areas for this species which means they gave regularly supported at least one pair in all years in which conditions were suitable and should be regarded as the highest priority sites for conservation management for the Australasian bittern.",Endangered,Endangered,1990,C1,Invasive/introduced predators (specify),"foxes, cats",Invasive/introduced predators (specify),"foxes, cats",draft in prep.,,,,IN iv) Threatened & priority fauna locations (individual species),survey of known and potential habitat,EV iv) Develop/implement monitoring and evaluation and reporting plan ,,CP viii) Reserve area plan (DPaW tenure only; specify),Perup & surrounding reserves management plans,MD i) Fire management for biodiversity (specify),,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with private landholders, catchment management organisations, NRM organisations and NGOs",MI xiii) Education and awareness (specify),ongoing public education re: biodiversity values of wetlands,South Coast workshop + draft RP: management actions,,,,
JAF02,Warren,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Coast + draft RP: past pressures and future threats,,,,,Salinity,salinisation of freshwater wetland habitat,Salinity,salinisation of freshwater wetland habitat,,,,,,,,,,,MD iii) Predator control or eradication,predator baiting,MI ix) Regulation - Water allocation,,,,,,,,
JAF02,Warren,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livestock farming (specify),grazing of wetlands,Salinity,grazing of wetlands,,,,,,,,,,,MD iv) Herbivore/omnivore control or eradication ,herbivore control where appropriate,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,
JAF02,Warren,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire seasonality ,burning while dry,Other,burning while dry,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,
JAF02,Warren,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire scale,fragmentation has reduced refuges,Other,fragmentation has reduced refuges,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
JAF02,Warren,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water abstraction (specify),plantations & use for stock,Water abstraction (specify),"plantations, use for stock, removal of plantations (impacts on ground and surface water)",,,,,,,,,,,,,MI iv) Habitat management through whole of landscape management approach (specify),,,,,,,,
JAF02,Warren,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),effects on habitat,Climate change (long-term reduced rainfall),effects on habitat,,,,,,,,,,,,,MI iv) Habitat management through whole of landscape management approach (specify),,,,,,,,
WAR01,South Coast,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,South Coast wetlands (Lake Jasper to Bremer Bay) shared with JAF02,Refer to State level,,,,,1,0,Refer to State level,Quantitative unpublished data and expert opinion,Static (no change),Quantitative unpublished data and expert opinion,South Coast workshop & Garnett et al 2011: 1 pop for all of SW WA,Not available at sub-regional level,Not available at sub-regional level,Quantitative analysis of data published or publically available following peer review,Decreased (pressures > recovery actions),Quantitative analysis of data published or publically available following peer review,draft RP: loss of suitable habitat,Refer to State level,Refer to State level,,Unknown,South Coast workshop: trend. S&C: 442133,Unknown,Unknown,-,Increased (new knowledge - biological survey),South Coast workshop: survey effort,,Highly restricted,Quantitative analysis of data published or publically available following peer review,Static,"South Coast workshop: freshwater wetlands, requires suitable cover; ",2012,,,draft RP: Owingup Swamp and Boat Harbour Wetlands is an Important Bird Area for this species which means it regularly supported at least one pair in all years in which conditions were suitable and should be regarded as the highest priority sites for conservation management for the Australasian bittern.,Endangered,Endangered,1990,C1,Invasive/introduced predators (specify),"foxes, cats",Invasive/introduced predators (specify),"foxes, cats",draft in prep.,,,,IN iv) Threatened & priority fauna locations (individual species),survey of known and potential habitat,EV iv) Develop/implement monitoring and evaluation and reporting plan ,,CP iv) Wetland management plan (specify),,MD i) Fire management for biodiversity (specify),,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with private landholders, catchment management organisations, NRM organisations and NGOs",MI xiii) Education and awareness (specify),ongoing public education re: biodiversity values of wetlands,Warren workshop + draft RP: management actions,,,,
WAR01,Warren,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,,,Warren workshops + draft RP: past pressures and future threats,,,,,Livestock farming (specify),grazing of wetlands,Livestock farming (specify),grazing of wetlands,,,,,,,,,CP viii) Reserve area plan (DPaW tenure only; specify),"Shannon-D'entrecastreaux, Walpole Wilderness management plans",MD iii) Predator control or eradication,predator baiting,MI ix) Regulation - Water allocation,,,,,,,,
WAR01,Warren,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire seasonality ,burning while dry,Fire seasonality ,burning while dry,,,,,,,,,CP viii) Reserve area plan (DPaW tenure only; specify),Capes Parks Management Plan (Gingalup area),MD iv) Herbivore/omnivore control or eradication ,herbivore control where appropriate,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,
WAR01,Warren,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire scale,fragmentation has reduced refuges,Fire scale,fragmentation has reduced refuges,,,,,,,,,CP xi) Other (specify),FMG wetlands (riivers & reeds); FDIS,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,
WAR01,Warren,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water abstraction (specify),plantations & use for stock,Water abstraction (specify),"plantations, use for stock, removal of plantations (impacts on ground and surface water)",,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
WAR01,Warren,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Altered drainage (specify),acid sulphate soils,Altered drainage (specify),acid sulphate soils,,,,,,,,,,,,,MI iv) Habitat management through whole of landscape management approach (specify),,,,,,,,
WAR01,Warren,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),effects on habitat,Climate change (long-term reduced rainfall),effects on habitat,,,,,,,,,,,,,,,,,,,,,
WAR01,Warren,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced omnivores (specify),"pigs, grazing and trampling of wetlands",Invasive/introduced omnivores (specify),"pigs, grazing and trampling of wetlands",,,,,,,,,,,,,,,,,,,,,
WAR01,Warren,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illegal activity (specify),"dumping of pigs, deer and horses (grazing and trampling of wetlands)",,,,,,,,,,,,,,,,,,,,,
WAR01,Warren,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced herbivores (specify),deer & horses grazing and trampling of wetlands,,,,,,,,,,,,,,,,,,,,,
WAR01,Warren,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining,peat,,,,,,,,,,,,,,,,,,,,,
WAR01,Warren,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP01,South Coast,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,South Coast wetlands (Lake Jasper to Bremer Bay),Refer to State level,,,,,1,0,Refer to State level,Quantitative unpublished data and expert opinion,Static (no change),Quantitative unpublished data and expert opinion,South Coast workshop & Garnett et al 2011: 1 pop for all of SW WA,Not available at sub-regional level,Not available at sub-regional level,Quantitative analysis of data published or publically available following peer review,Decreased (pressures > recovery actions),Quantitative analysis of data published or publically available following peer review,South Coast workshop: no current records despite adequate survey effort and suitable habitat,Refer to State level,Refer to State level,,Decreased (pressures > recovery actions),South Coast workshop: no current records despite adequate survey effort and suitable habitat. S&C: 128710,N/A,N/A,Estimate based on expert opinion ,Decreased (pressures > recovery actions),South Coast workshop: no current records despite adequate survey effort and suitable habitat. ,,Highly restricted,Quantitative analysis of data published or publically available following peer review,Static,"South Coast workshop: freshwater wetlands, requires suitable cover; ",2009,2012,,"South Coast workshop: loss of habitat in this subregion and no current records, however birds could re-occupy habitat in future.",Endangered,Endangered,1990,C1,Invasive/introduced predators (specify),"foxes, cats",Invasive/introduced predators (specify),"foxes, cats",draft in prep.,,,,IN iv) Threatened & priority fauna locations (individual species),survey of known and potential habitat,EV iv) Develop/implement monitoring and evaluation and reporting plan ,,,,MD i) Fire management for biodiversity (specify),,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with private landholders, catchment management organisations, NRM organisations and NGOs",MI xiii) Education and awareness (specify),ongoing public education re: biodiversity values of wetlands,,,,,
ESP01,South Coast,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salinity,salinisation of freshwater wetland habitat,Salinity,salinisation of freshwater wetland habitat,,,,,,,,,,,MD iii) Predator control or eradication,predator baiting,MI ix) Regulation - Water allocation,,,,,,,,
ESP01,South Coast,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livestock farming (specify),grazing of wetlands,Livestock farming (specify),grazing of wetlands,,,,,,,,,,,MD iv) Herbivore/omnivore control or eradication ,herbivore control where appropriate,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,
ESP01,South Coast,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire seasonality ,burning while dry,Fire seasonality ,burning while dry,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,
ESP01,South Coast,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire scale,fragmentation has reduced refuges,Fire scale,fragmentation has reduced refuges,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
ESP01,South Coast,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water abstraction (specify),plantations & use for stock,Water abstraction (specify),"plantations, use for stock, removal of plantations (impacts on ground and surface water)",,,,,,,,,,,,,MI iv) Habitat management through whole of landscape management approach (specify),,,,,,,,
ESP02,South Coast,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,South Coast wetlands (Esperance to Cape Arid),Refer to State level,,,,,1,0,Refer to State level,Quantitative unpublished data and expert opinion,Static (no change),Quantitative unpublished data and expert opinion,South Coast workshop & Garnett et al 2011: 1 pop for all of SW WA,Not available at sub-regional level,Not available at sub-regional level,Quantitative analysis of data published or publically available following peer review,Static (no change),Quantitative analysis of data published or publically available following peer review,"draft RP: recent records for wetlands, decline in habitat not noted as for other areas",Refer to State level,Refer to State level,,Static (no change),South Coast workshop: trend.,Unknown,Unknown,-,Static (no change),draft RP: decline in habitat not noted as for other areas,,Highly restricted,Quantitative analysis of data published or publically available following peer review,Static,"South Coast workshop: freshwater wetlands, requires suitable cover; ",2012,,,South Coast workshop + draft RP: past pressures and future threats,Endangered,Endangered,1990,C1,Invasive/introduced predators (specify),"foxes, cats",Invasive/introduced predators (specify),"foxes, cats",draft in prep.,,,,IN iv) Threatened & priority fauna locations (individual species),survey of known and potential habitat,EV iv) Develop/implement monitoring and evaluation and reporting plan ,,,,MD i) Fire management for biodiversity (specify),,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with private landholders, catchment management organisations, NRM organisations and NGOs",MI xiii) Education and awareness (specify),ongoing public education re: biodiversity values of wetlands,South Coast workshop + draft RP: management actions,,,,
ESP02,South Coast,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"draft RP: recent records from Big Boom Swamp, SW of Adams, S of Adams, E of Merivale Road, Frenchmans Peak East and Dunn Rock Swamp. ",,,,,Salinity,salinisation of freshwater wetland habitat,Salinity,salinisation of freshwater wetland habitat,,,,,,,,,,,MD iii) Predator control or eradication,predator baiting,MI i) Habitat protection through formal conservation reservation (specify),progress proposed additions to Esperance Coastal Reserves (eg. Big Boom wetlands),,,,,,,
ESP02,South Coast,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livestock farming (specify),grazing of wetlands,Livestock farming (specify),grazing of wetlands,,,,,,,,,,,MD iv) Herbivore/omnivore control or eradication ,herbivore control where appropriate,MI ix) Regulation - Water allocation,,,,,,,,
ESP02,South Coast,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire seasonality ,burning while dry,Fire seasonality ,burning while dry,,,,,,,,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,
ESP02,South Coast,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire scale,fragmentation has reduced refuges,Fire scale,fragmentation has reduced refuges,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,
ESP02,South Coast,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water abstraction (specify),plantations & use for stock,Water abstraction (specify),"plantations, use for stock, removal of plantations (impacts on ground and surface water)",,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
ESP02,South Coast,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI iv) Habitat management through whole of landscape management approach (specify),,,,,,,,
MAL02,Wheatbelt,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,Lake Bryde,Refer to State level,,,,,1,0,Refer to State level,Quantitative unpublished data and expert opinion,Static (no change),Quantitative unpublished data and expert opinion,South Coast workshop & Garnett et al 2011: 1 pop for all of SW WA,Not available at sub-regional level,Not available at sub-regional level,Expert opinion,Unknown,Expert opinion,"South Coast workshop: most recent record is Lake Bryde record from 1997, unknown if birds are currently present. RP: habitat is likely to be unsuitable.",Refer to State level,Refer to State level,,Unknown,South Coast workshop: trend. S&C: 12937,145,"< 1,000ha (sub-region)",Estimate based on expert opinion ,Unknown,South Coast workshop: area is Lake Bryde only present when wetland is flooded,,Highly restricted,Quantitative analysis of data published or publically available following peer review,Static,"South Coast workshop: freshwater wetlands, requires suitable cover; ",1997,,,"South Coast workshop: Lake Bryde record is accurate (SAP survey, checked with Adrian Pinder and Dave Cale); Peter Lacey to follow up recent records",Endangered,Endangered,2010,C1,Invasive/introduced predators (specify),foxes,Invasive/introduced predators (specify),foxes,draft in prep.,,,,IN iv) Threatened & priority fauna locations (individual species),survey of known and potential habitat,EV iv) Develop/implement monitoring and evaluation and reporting plan ,,,,MD x) Surface water control (specify),"Lake Bryde, managing saline surface water flows",MI iii) Habitat management through informal or complementary conservation mechanisms (specify),continue to implement recovery catchment at Lake Bryde,MI xiii) Education and awareness (specify),ongoing public education re: biodiversity values of wetlands,South Coast workshops + draft RP: management actions,,,,
MAL02,Wheatbelt,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Coast workshop + draft RP: past pressures and future threats,,,,,Salinity,salinisation of freshwater wetland habitat,Salinity,salinisation of freshwater wetland habitat,,,,,,,,,,,MD iii) Predator control or eradication,predator baiting,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
MAL02,Wheatbelt,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livestock farming (specify),grazing of wetlands,Livestock farming (specify),grazing of wetlands,,,,,,,,,,,,,MI iv) Habitat management through whole of landscape management approach (specify),,,,,,,,
MAL02,Wheatbelt,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),effects on habitat,Climate change (long-term reduced rainfall),effects on habitat,,,,,,,,,,,,,,,,,,,,,
MAL02,Wheatbelt,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recreational disturbance (specify),"water skiing on Lake Bryde (boats, vehicles, visitors), occurs when wetland is full, bittern breeding",Recreational disturbance (specify),"water skiing on Lake Bryde (boats, vehicles, visitors), occurs when wetland is full, bittern breeding",,,,,,,,,,,,,,,,,,,,,
MAL02,Wheatbelt,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAL02,Wheatbelt,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAL02,Wheatbelt,Sch1:Birds,Botaurus poiciloptilus,Australasian Bittern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,"Wheatbelt, Swan, South West, South Coast, Warren",Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,populations below,1,Quantitative analysis of data published or publically available following peer review,Static,Quantitative analysis of data published or publically available following peer review,Garnett et al 2011: taxonomy accepted,1,0,1 (potentially meets location/subpopulation criteria CR),Quantitative analysis of data published or publically available following peer review,Static (no change),Quantitative analysis of data published or publically available following peer review,Garnett et al 2011: 1 pop for whole of SW,"15,000","< 100,000 (does not meet IUCN mature individual criteria)",Quantitative analysis of data published or publically available following peer review,Decreased (pressures > recovery actions),Quantitative analysis of data published or publically available following peer review,Garnett et al 2011,"6,100,000","< 10,000,000ha (does not meet IUCN extent of occurrence criteria)",Other (state details):,Static (no change),Garnett et al 2011. S&C: 5355139ha. RP: does not include EOO. ,"2,000,000","> 1,000,000ha (does not meet IUCN area of occupancy criteria)",Other (state details):,Decreased (pressures > recovery actions),Garnett et al 2011. RP: does not include AOO.,,Moderate,Expert opinion,Static,"Swan workshop. RP: Nests in the hollows of mature Marri Corymbia calophylla, Jarrah Eucalyptus marginata and Karri E. diversicolour in south-west forests and may only breed in years when Marri is fruiting in abundance. Feeds on Marri and Jarrah in south-west forests and Blackbutt E. patens, Albany Blackbutt E. staeri, Sheoak Allocasuarina fraseriana, Snottygobble Persoonia longifolia. Also feeds on the non-indigenous native Spotted Gum E. maculata and Cape Lilac Melia azedarach on the Swan Coastal Plain.",2012,,2013,Swan workshop: past pressures & future threats,Vulnerable,Vulnerable,2005,A2c+3c+4c,Urban development ,historic and ongoing clearing and fragmentation of habitat (reduces nesting hollows roost sites & food availability),Urban development ,historic and ongoing clearing and fragmentation of habitat (reduces nesting hollows roost sites & food availability),2008,,,,Au v) Reproductive biology & breeding system,determine factors affecting breeding success and recruitment,EV iv) Develop/implement monitoring and evaluation and reporting plan ,,CP i) Threatened taxa recovery plan (specify),implement recovery plan; Forest Cockatoo Recovery Group,MD i) Fire management for biodiversity (specify),,MI i) Habitat protection through formal conservation reservation (specify),reservation of habitat where appropriate,MI xiii) Education and awareness (specify),"promotion of conservation values of black cockatoos, encourage reporting of sightings","JM: Swan workshop advised to include management actions from Garnett 2011 et al. and RP. I have done so, please check. ",,,,
Western Australia,"Wheatbelt, Swan, South West, South Coast, Warren",Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"JM: RP notes that historic shooting of birds by orchardists and other land holders has reduced population and also mentioned by Swan workshop as a past pressure for Carnabys, hence I have included it. Historic shooting included as hunting and within last 10 years it is included as illegal activities. ",,,,,Industrial development,historic and ongoing clearing and fragmentation of habitat (reduces nesting hollows roost sites & food availability),Industrial development,historic and ongoing clearing and fragmentation of habitat (reduces nesting hollows roost sites & food availability),,,,,PD iii) Forward projections of population size ,changes is in habitat availability over time,EV v) Compile and synthesis existing data on occurrences and state (specify source of data),,,,MD iv) Herbivore/omnivore control or eradication ,honey bee control where appropriate; corella and/or galah control where appropriate,MI ii) Habitat protection through other statutory mechanisms (specify),conservation covenants where appropriate,MI xiv) Capacity building (specify),eduaction to address at illegal shooting/capture,,,,,
Western Australia,"Wheatbelt, Swan, South West, South Coast, Warren",Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WAM: This subspecies occurs in the humid and subhumid south-west; mainly in hilly interior, north to Gingin (formerly to Dandaragan) and east to Mt Helena (formerly to Toodyay), Christmas Tree Well, near Brookton, North Bannister (formerly to Wandering), Mt Saddleback, Kojonup, Rocky Gully, upper King River and east to the Green Range. It is endemic to Western Australia.",,,,,Cropping/Horticulture (specify),historic and ongoing clearing and fragmentation of habitat (reduces nesting hollows roost sites & food availability),Cropping/Horticulture (specify),historic and ongoing clearing and fragmentation of habitat (reduces nesting hollows roost sites & food availability),,,,,QTP iii) Quantifying threatening processes – species,determine relative impacts of threatening processes,EV ix) Determine forward projection of changes in EOO or AOO or degree of degradation of TECs/PECs and wetlands,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),off reserve conservation,,,,,,,
Western Australia,"Wheatbelt, Swan, South West, South Coast, Warren",Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livestock farming (specify),historic and ongoing clearing and fragmentation of habitat (reduces nesting hollows roost sites & food availability),Livestock farming (specify),historic and ongoing clearing and fragmentation of habitat (reduces nesting hollows roost sites & food availability),,,,,IN i) Vegetation mapping (specify scale),map feeding and breeding habitats critical to survival,,,,,,,MI ix) Regulation - Water allocation,,,,,,,,
Western Australia,"Wheatbelt, Swan, South West, South Coast, Warren",Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mining ,"clearing, dewatering",Mining ,"clearing, dewatering",,,,,IN iv) Threatened & priority fauna locations (individual species),,,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,
Western Australia,"Wheatbelt, Swan, South West, South Coast, Warren",Sch1:Birds,Calyptorhynchus banksii naso,Forest Red-tailed Black-Cockatoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roads & rail,road kill,Roads & rail,road kill,,,,,,,,,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,
